DATE,S,C,D,T,GOAL,GOALTYPE,DURATION,slot,S2,C2,D2,T2
<TODAY>,7300,233,4100,73,7000,DAILY,0,<SLOT>,3500,115,2000,35
<TODAY>,7300,232,4100,73,7000,DAILY,0,<SLOT2>,3800,117,2100,38
<TODAY-1>,8200,245,4900,85,7000,DAILY,0,<SLOT>,4000,120,2400,40
<TODAY-1>,8200,245,4900,85,7000,DAILY,0,<SLOT2>,4200,125,2500,45
<TODAY-2>,6600,220,3850,66,7000,DAILY,0,<SLOT>,3000,100,1800,30
<TODAY-2>,6600,220,3850,66,7000,DAILY,0,<SLOT2>,3600,120,2050,36
<LAST_WEEK>,6500,230,3900,68,7000,DAILY,0,<SLOT>,3200,110,1900,32
<LAST_WEEK>,6500,230,3900,68,7000,DAILY,0,<SLOT2>,3300,120,2000,36
<LAST_MONTH>,8400,250,4600,85,7000,DAILY,0,<SLOT>,4000,120,2400,45
<LAST_MONTH>,8400,250,4600,85,7000,DAILY,0,<SLOT2>,4400,130,2200,40
