DATE,SCORE,GOAL,A,AC,L,D,R,T,N,slot,S,D
2023-08-03,98,10,60,1,120,180,30,330,20,1691037000,1,60
2023-08-03,98,10,60,1,120,180,30,330,20,1691065800,1,60
2023-08-02,88,6,60,1,60,240,60,360,20,1690950600,2,120
2023-08-02,88,6,60,1,60,240,60,360,20,1690950600,2,120
2023-08-01,85,8,90,1,120,180,30,330,20,1690864200,1,66
2023-08-01,85,8,90,1,120,180,30,330,20,1690864200,1,66
2023-07-27,87,7,30,1,120,180,30,330,20,1690432200,1,90
2023-07-27,87,7,30,1,120,180,30,330,20,1690432200,1,90
2023-07-04,93,6,90,1,120,180,30,330,20,1688445000,1,72
2023-07-04,93,6,90,1,120,180,30,330,20,1688445000,1,72
