DATE,SCORE,GOAL,A,AC,L,D,R,T,N,slot,S,D
2023-07-28,98,10,60,1,120,180,30,330,20,1690518600,1,60
2023-07-28,98,10,60,1,120,180,30,330,20,1690547400,1,60
2023-07-27,88,6,60,1,60,240,60,360,20,1690432200,2,120
2023-07-27,88,6,60,1,60,240,60,360,20,1690432200,2,120
2023-07-26,85,8,90,1,120,180,30,330,20,1690345800,1,66
2023-07-26,85,8,90,1,120,180,30,330,20,1690345800,1,66
2023-07-21,87,7,30,1,120,180,30,330,20,1689913800,1,90
2023-07-21,87,7,30,1,120,180,30,330,20,1689913800,1,90
2023-06-28,93,6,90,1,120,180,30,330,20,1687926600,1,72
2023-06-28,93,6,90,1,120,180,30,330,20,1687926600,1,72
